,wind_direction,wind_force
D20220927_085354_5493.jpg,0,0
D20220927_085854_5835.jpg,0,0
D20220927_090854_6518.jpg,r,w
D20220927_090354_6177.jpg,l,m
D20220927_083854_4466.jpg,r,w
D20220927_081854_3098.jpg,r,m
D20220927_084354_4810.jpg,l,m
D20220927_083354_4124.jpg,r,s
D20220927_081354_2757.jpg,0,0
D20220926_185628_6291.jpg,r,w
D20220927_080854_2415.jpg,r,m
D20220927_082354_3440.jpg,r,s
D20220926_184628_5607.jpg,r,m
D20220926_185128_5949.jpg,n,n
D20220926_184128_5265.jpg,0,0
D20220926_183628_4924.jpg,l,w
D20220926_183128_4582.jpg,l,m
D20220926_182128_3899.jpg,l,w
D20220926_182628_4240.jpg,l,w
D20220926_181628_3557.jpg,l,m
D20220926_180628_2873.jpg,r,w
D20220926_181128_3216.jpg,l,m
D20220926_175128_1840.jpg,l,w
D20220926_180128_2530.jpg,l,m
D20220926_174628_1493.jpg,l,m
D20220926_175628_2185.jpg,l,m
D20220926_174128_1146.jpg,n,n
D20220926_172628_0122.jpg,l,m
D20220926_173628_0804.jpg,l,m
D20220926_172128_9780.jpg,n,n
D20220926_173128_0463.jpg,l,m
D20220926_171628_9439.jpg,l,m
D20220926_170128_8415.jpg,l,w
D20220926_170628_8756.jpg,n,n
D20220926_171128_9098.jpg,n,n
D20220926_165128_7732.jpg,l,m
D20220926_165628_8073.jpg,l,m
D20220926_164128_7049.jpg,l,m
D20220926_164628_7390.jpg,n,n
D20220926_162628_6024.jpg,l,w
D20220926_162128_5682.jpg,l,m
D20220926_163128_6365.jpg,l,w
D20220926_163628_6707.jpg,n,n
D20220926_161628_5340.jpg,l,w
D20220926_160628_4657.jpg,l,w
D20220926_160128_4315.jpg,l,m
D20220926_155628_3973.jpg,n,n
D20220926_161128_4999.jpg,l,m
D20220926_153628_2604.jpg,l,w
D20220923_191322_8891.jpg,d,w
D20220923_190822_8550.jpg,r,w
D20220923_185322_7525.jpg,d,w
D20220923_190322_8208.jpg,r,m
D20220923_185822_7866.jpg,d,w
D20220923_184322_6841.jpg,d,w
D20220923_184822_7183.jpg,n,n
D20220923_183322_6158.jpg,n,n
D20220923_183822_6500.jpg,n,n
D20220923_182822_5816.jpg,n,n
D20220923_182322_5475.jpg,n,n
D20220923_181322_4791.jpg,r,w
D20220923_180822_4449.jpg,l,w
D20220923_181822_5133.jpg,l,w
D20220923_180322_4107.jpg,r,m
D20220923_175322_3421.jpg,n,n
D20220923_174822_3077.jpg,r,w
D20220923_174322_2732.jpg,n,n
D20220923_175822_3764.jpg,r,w
D20220923_171822_1007.jpg,r,w
D20220923_172322_1348.jpg,n,n
D20220923_172822_1694.jpg,r,w
D20220923_173822_2387.jpg,l,w
D20220923_173322_2040.jpg,n,n
D20220923_165822_9642.jpg,r,w
D20220923_170322_9983.jpg,r,m
D20220923_171322_0666.jpg,r,m
D20220923_170822_0325.jpg,r,w
D20220923_165322_9300.jpg,r,s
D20220923_164822_8959.jpg,r,m
D20220923_164322_8617.jpg,r,m
D20220923_163822_8275.jpg,r,m
D20220923_163322_7934.jpg,r,m
D20220923_162322_7251.jpg,r,m
D20220923_161822_6909.jpg,n,n
D20220923_162822_7592.jpg,r,m
D20220923_161322_6567.jpg,l,w
D20220923_155322_5193.jpg,r,w
D20220923_155822_5537.jpg,r,m
D20220923_160322_5881.jpg,r,m
D20220923_160822_6225.jpg,r,w
D20220923_154322_4505.jpg,r,m
D20220923_154822_4849.jpg,r,w
D20220923_152822_3475.jpg,r,m
D20220923_153322_3816.jpg,r,m
D20220923_153822_4160.jpg,r,w
D20220923_151322_2451.jpg,r,m
D20220923_151822_2792.jpg,l,w
D20220923_152322_3134.jpg,r,m
D20220923_145322_1086.jpg,r,m
D20220923_145822_1427.jpg,n,n
D20220923_144322_0405.jpg,d,w
D20220923_150822_2110.jpg,r,m
D20220923_144822_0745.jpg,r,m
